Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,247.699997,252.500000,247.449997,251.350006,189.813202,50555
2011-01-04,251.699997,254.550003,250.100006,252.100006,190.379608,38454
2011-01-05,251.850006,254.000000,245.199997,246.550003,186.188370,38787
2011-01-06,247.000000,248.500000,239.199997,239.949997,181.204208,65489
2011-01-07,240.000000,241.899994,236.000000,237.050003,179.014206,209811
2011-01-10,236.500000,237.500000,228.000000,230.199997,173.841278,95603
2011-01-11,230.149994,232.699997,225.100006,226.000000,170.669510,85197
2011-01-12,226.500000,230.500000,222.000000,228.050003,172.217651,58104
2011-01-13,227.600006,229.199997,225.500000,227.300003,171.651260,24050
2011-01-14,226.800003,229.750000,221.100006,225.850006,170.556274,119820
2011-01-17,226.000000,229.800003,224.149994,227.399994,171.726791,249365
2011-01-18,238.000000,238.000000,225.050003,228.300003,172.406433,39886
2011-01-19,227.800003,230.500000,227.000000,228.600006,172.632980,121638
2011-01-20,228.100006,234.750000,226.300003,227.199997,171.575745,105039
2011-01-21,226.500000,228.300003,225.000000,226.500000,171.047119,302279
2011-01-24,226.000000,228.000000,223.000000,224.649994,169.650024,225243
2011-01-25,225.300003,227.000000,223.500000,224.550003,169.574539,21017
2011-01-27,225.899994,226.600006,222.100006,224.449997,169.498993,169261
2011-01-28,223.800003,224.899994,211.050003,213.949997,161.569656,105862
2011-01-31,213.850006,214.800003,208.050003,213.149994,160.965530,155733
2011-02-01,213.949997,215.500000,208.250000,211.000000,159.341888,87471
2011-02-02,213.500000,217.500000,207.500000,209.350006,158.095886,325870
2011-02-03,210.100006,214.000000,208.800003,210.100006,158.662247,42418
2011-02-04,210.500000,215.699997,210.500000,212.350006,160.361389,86468
2011-02-07,213.000000,225.000000,208.100006,212.899994,160.776733,44889
2011-02-08,216.899994,216.899994,201.250000,203.100006,153.376022,286542
2011-02-09,204.050003,204.850006,193.000000,195.100006,147.334641,332473
2011-02-10,195.000000,202.800003,195.000000,197.050003,148.807220,219671
2011-02-11,204.500000,204.500000,191.000000,200.100006,151.110504,120363
2011-02-14,210.500000,211.000000,198.000000,206.000000,155.566040,89659
2011-02-15,207.949997,208.300003,203.199997,204.750000,154.622055,87920
2011-02-16,205.649994,207.000000,201.000000,202.300003,152.771881,178983
2011-02-17,202.000000,204.899994,200.250000,204.399994,154.357758,85948
2011-02-18,205.000000,207.000000,199.000000,200.300003,151.261520,72210
2011-02-21,200.899994,204.000000,193.699997,196.899994,148.693939,160983
2011-02-22,196.399994,198.000000,192.250000,195.399994,147.561172,254024
2011-02-23,195.500000,197.899994,192.699997,193.850006,146.390640,66370
2011-02-24,193.350006,194.000000,188.000000,188.649994,142.463745,77431
2011-02-25,189.000000,191.500000,184.000000,185.500000,140.084946,128395
2011-02-28,186.100006,192.000000,185.949997,187.500000,141.595306,121327
2011-03-01,189.800003,192.899994,186.500000,191.899994,144.918076,59285
2011-03-03,194.550003,194.550003,189.100006,191.850006,144.880310,27626
2011-03-04,190.300003,194.949997,190.300003,192.550003,145.408936,35335
2011-03-07,194.699997,194.699997,188.050003,190.949997,144.200638,39818
2011-03-08,193.899994,194.000000,191.000000,191.449997,144.578217,30494
2011-03-09,193.850006,193.850006,188.149994,189.449997,143.067871,170729
2011-03-10,188.699997,192.500000,186.199997,191.699997,144.767044,96546
2011-03-11,190.149994,192.449997,189.649994,191.449997,144.578217,44186
2011-03-14,192.000000,198.050003,190.250000,195.800003,147.863251,81352
2011-03-15,193.500000,203.449997,189.100006,200.600006,151.488098,234872
2011-03-16,203.500000,207.500000,203.000000,203.949997,154.017929,157825
2011-03-17,204.050003,208.350006,202.199997,204.850006,154.697586,162527
2011-03-18,204.050003,206.850006,196.199997,197.000000,148.769485,88084
2011-03-21,198.100006,200.449997,194.449997,199.800003,150.883942,64870
2011-03-22,199.050003,202.850006,198.050003,201.500000,152.167725,28323
2011-03-23,202.500000,204.850006,200.000000,202.550003,152.960663,26565
2011-03-24,203.550003,205.850006,202.000000,203.899994,153.980164,53762
2011-03-25,204.899994,209.699997,203.449997,208.850006,157.718277,92871
2011-03-28,207.800003,221.500000,206.800003,218.949997,165.345551,208377
2011-03-29,220.000000,222.500000,217.899994,220.100006,166.213989,85295
2011-03-30,202.000000,225.000000,202.000000,221.300003,167.120193,77574
2011-03-31,219.300003,224.500000,219.250000,223.100006,168.479523,55669
2011-04-01,223.949997,233.800003,222.000000,230.550003,174.105591,148002
2011-04-04,234.899994,238.500000,233.399994,234.449997,177.050751,76817
2011-04-05,238.000000,238.000000,231.000000,235.300003,177.692657,49181
2011-04-06,239.899994,239.899994,230.000000,235.000000,177.466110,101228
2011-04-07,236.000000,239.449997,232.250000,237.899994,179.656082,38586
2011-04-08,238.800003,246.449997,235.600006,241.300003,182.223694,97557
2011-04-11,241.000000,242.600006,230.600006,233.399994,176.257828,107979
2011-04-13,230.050003,232.750000,228.000000,229.500000,173.312622,152875
2011-04-15,227.000000,232.000000,226.199997,230.000000,173.690216,72848
2011-04-18,230.000000,235.500000,224.000000,224.750000,169.725571,204202
2011-04-19,223.199997,228.949997,223.199997,225.850006,170.556274,65017
2011-04-20,226.449997,229.600006,224.100006,224.850006,169.801071,87552
2011-04-21,226.100006,236.250000,226.100006,229.949997,173.652466,221559
2011-04-25,229.949997,233.899994,228.000000,229.050003,172.972794,38304
2011-04-26,230.000000,233.000000,227.600006,228.500000,172.557465,81642
2011-04-27,231.000000,231.000000,227.100006,228.800003,172.784012,24371
2011-04-28,229.899994,230.750000,225.199997,225.949997,170.631775,60242
2011-04-29,227.000000,227.600006,222.100006,223.850006,169.045883,39603
2011-05-02,226.500000,226.500000,222.550003,223.699997,168.932632,27171
2011-05-03,224.000000,224.949997,219.600006,220.449997,166.478317,14748
2011-05-04,220.600006,225.449997,219.550003,220.199997,166.289505,42784
2011-05-05,225.800003,225.800003,218.350006,219.300003,165.609863,18500
2011-05-06,220.500000,221.949997,213.100006,213.699997,161.380890,101277
2011-05-09,214.199997,215.500000,210.199997,211.550003,159.757248,62313
2011-05-10,211.050003,216.250000,209.100006,211.350006,159.606201,49843
2011-05-11,214.800003,214.800003,211.000000,212.399994,160.399124,69460
2011-05-12,211.000000,216.500000,211.000000,214.149994,161.720688,86292
2011-05-13,215.500000,221.000000,212.050003,218.149994,164.741409,84824
2011-05-16,220.800003,223.000000,215.050003,219.600006,165.836411,145188
2011-05-17,221.800003,221.800003,215.250000,216.399994,163.419846,144323
2011-05-18,217.000000,217.000000,212.199997,215.649994,162.853470,67474
2011-05-19,214.100006,223.000000,209.750000,220.449997,166.478317,303370
2011-05-20,223.000000,224.000000,216.000000,222.449997,167.988663,104470
2011-05-23,221.000000,226.850006,220.500000,225.350006,170.178665,56577
2011-05-24,228.800003,231.899994,222.399994,229.850006,173.576950,799316
2011-05-25,231.000000,233.000000,225.000000,225.649994,170.405212,128050
2011-05-26,227.000000,229.000000,218.600006,221.100006,166.969162,272725
2011-05-27,222.149994,229.000000,221.550003,227.750000,171.991074,89944
2011-05-30,229.500000,231.949997,226.100006,231.100006,174.520920,89053
2011-05-31,232.000000,233.800003,228.050003,229.750000,173.501434,57238
2011-06-01,230.000000,233.000000,229.550003,232.699997,175.729172,44097
2011-06-02,232.699997,235.000000,230.000000,231.100006,174.520920,68157
2011-06-03,232.000000,237.899994,231.300003,233.050003,175.993530,56740
2011-06-06,233.300003,234.899994,230.750000,231.600006,174.898499,164126
2011-06-07,233.699997,233.699997,229.000000,229.850006,173.576950,56061
2011-06-08,228.500000,233.449997,228.500000,229.750000,173.501434,100563
2011-06-09,229.750000,233.899994,228.500000,231.000000,174.445389,35855
2011-06-10,232.000000,233.000000,229.050003,229.949997,173.652466,63046
2011-06-13,228.850006,230.399994,227.050003,228.300003,172.406433,62595
2011-06-14,228.500000,229.199997,226.750000,227.649994,171.915573,79720
2011-06-15,228.000000,228.649994,225.000000,225.699997,170.442978,47588
2011-06-16,225.000000,226.000000,221.500000,223.050003,168.441788,60396
2011-06-17,224.899994,230.300003,219.600006,228.949997,172.897278,179326
2011-06-20,227.000000,228.000000,219.100006,220.250000,166.327271,34712
2011-06-21,222.000000,223.000000,215.250000,218.600006,165.081253,138597
2011-06-22,219.000000,224.300003,215.050003,220.750000,166.704849,119032
2011-06-23,218.350006,228.500000,218.100006,227.600006,171.877823,104377
2011-06-24,225.600006,229.500000,225.350006,228.699997,172.708496,103631
2011-06-27,230.000000,230.750000,226.500000,228.000000,172.179916,60590
2011-06-28,228.000000,229.149994,225.199997,228.350006,172.444199,31728
2011-06-29,229.000000,229.699997,225.600006,226.399994,170.971588,45997
2011-06-30,228.000000,230.699997,220.050003,225.050003,169.952103,67397
2011-07-01,226.250000,229.500000,223.600006,227.399994,171.726791,38110
2011-07-04,230.000000,230.949997,227.000000,229.350006,173.199387,59384
2011-07-05,229.949997,230.850006,228.000000,228.850006,172.821762,48709
2011-07-06,232.250000,232.250000,228.300003,228.699997,172.708496,28734
2011-07-07,229.949997,229.949997,227.800003,228.850006,172.821762,27806
2011-07-08,228.899994,229.949997,226.050003,227.750000,171.991074,29573
2011-07-11,229.949997,229.949997,227.000000,227.750000,171.991074,5431
2011-07-12,227.100006,229.000000,225.050003,225.750000,170.480743,26123
2011-07-13,229.399994,229.449997,225.949997,226.550003,171.084869,20341
2011-07-14,226.600006,228.000000,221.300003,227.300003,171.651260,45231
2011-07-15,227.699997,231.699997,227.000000,228.699997,172.708496,87323
2011-07-18,229.750000,230.000000,227.300003,229.050003,172.972794,10202
2011-07-19,230.550003,230.550003,226.300003,226.699997,171.198135,108025
2011-07-20,227.250000,234.000000,224.500000,225.100006,169.989868,98112
2011-07-21,226.550003,229.899994,225.500000,225.949997,170.631775,33139
2011-07-22,225.500000,229.600006,225.500000,229.149994,173.048340,25064
2011-07-25,229.000000,232.000000,228.149994,229.750000,173.501434,38462
2011-07-26,231.500000,231.500000,228.500000,228.850006,172.821762,51910
2011-07-27,229.699997,230.399994,217.850006,220.600006,166.591599,305478
2011-07-28,219.000000,222.500000,217.500000,220.649994,166.629349,53720
2011-07-29,220.149994,221.649994,218.600006,219.300003,165.609863,27238
2011-08-01,219.399994,222.000000,218.399994,218.850006,165.270035,12473
2011-08-02,217.100006,219.199997,215.100006,216.149994,163.231049,16238
